source_id,source_url,raw_url,resolved_url,verification_status
14,https://www.alchembright.com/blog/uncategorized/pollinosis/,http://dictionary.goo.ne.jp/search.php?MT=%B2%D6%CA%B4&kind=je&mode=0&kwassist=0,http://dictionary.goo.ne.jp/search.php?MT=%B2%D6%CA%B4&kind=je&mode=0&kwassist=0,pending
15,https://www.alchembright.com/blog/uncategorized/synth_on_ds/,"http://japan.cnet.com/news/tech/story/0,2000056025,20369288,00.htm","http://japan.cnet.com/news/tech/story/0,2000056025,20369288,00.htm",pending
19,https://www.alchembright.com/blog/uncategorized/swag/,javascript:goWordLink(,javascript:goWordLink(,pending
19,https://www.alchembright.com/blog/uncategorized/swag/,javascript:goWordLink(,javascript:goWordLink(,pending
19,https://www.alchembright.com/blog/uncategorized/swag/,javascript:goWordLink(,javascript:goWordLink(,pending
19,https://www.alchembright.com/blog/uncategorized/swag/,javascript:goWordLink(,javascript:goWordLink(,pending
19,https://www.alchembright.com/blog/uncategorized/swag/,javascript:goWordLink(,javascript:goWordLink(,pending
19,https://www.alchembright.com/blog/uncategorized/swag/,javascript:goWordLink(,javascript:goWordLink(,pending
23,https://www.alchembright.com/blog/uncategorized/starting_objectivec/,http://www.dreamhound.net/ja/blog/2008/07/_iphone_1_1.html,http://www.dreamhound.net/ja/blog/2008/07/_iphone_1_1.html,pending
26,https://www.alchembright.com/blog/uncategorized/amazon_sale_080909/,http://www.amazon.co.jp/gp/feature.html/ref=amb_link_55402206_1?ie=UTF8&docId=1000165706&pf_rd_m=AN1VRQENFRJN5&pf_rd_s=center-2&pf_rd_r=0E3A0P535M04HPR2CAMC&pf_rd_t=1401&pf_rd_p=100367606&pf_rd_i=1000165696,http://www.amazon.co.jp/gp/feature.html/ref=amb_link_55402206_1?ie=UTF8&docId=1000165706&pf_rd_m=AN1VRQENFRJN5&pf_rd_s=center-2&pf_rd_r=0E3A0P535M04HPR2CAMC&pf_rd_t=1401&pf_rd_p=100367606&pf_rd_i=1000165696,pending
27,https://www.alchembright.com/blog/uncategorized/sekaicamera/,http://sekaicamera.com/,http://sekaicamera.com/,pending
29,https://www.alchembright.com/blog/uncategorized/post_3/,http://movabletype.jp/documentation/appendices/tags/archivedate.html,http://movabletype.jp/documentation/appendices/tags/archivedate.html,pending
33,https://www.alchembright.com/blog/uncategorized/fostexnf4a/,http://musicmaster.jp/specials/archives/2008/09/01-000001.php,http://musicmaster.jp/specials/archives/2008/09/01-000001.php,pending
33,https://www.alchembright.com/blog/uncategorized/fostexnf4a/,http://www.sounddesigner.jp/,http://www.sounddesigner.jp/,pending
